Algorithm,Size, Type,Average Time Taken (microseconds)
Wrong Selection Sorting,100000,RAND,42551174
Wrong Selection Sorting,100000,ASC,13957636
Wrong Selection Sorting,100000,DESC,49314202
Right Selection Sorting,100000,RAND,11316334
Right Selection Sorting,100000,ASC,12164053
Right Selection Sorting,100000,DESC,11666846
Insertion Sorting,100000,RAND,6056964
Insertion Sorting,100000,ASC,322
Insertion Sorting,100000,DESC,12191962
Bubble Sorting,100000,RAND,47400050
Bubble Sorting,100000,ASC,223
Bubble Sorting,100000,DESC,50614239
